Obersavation Number,"Use
(Elevator = 0; Stairs = 1)","Gender
(Female=0; Male=1; Hybrid=2)","Group Size
(Single=0; Two people=1; More than two=2)","Heavy Items
(No=0; Yes=1)",Notes,,Additional Notes
132,0,1,1,0,,,A loooot of activity ~2pm (not many people at 3pm) --> queues at the elevators --> a lot of people going directly for the stairs
133,0,1,1,0,,,
134,0,0,0,0,,,
135,0,1,0,1,,,
136,0,0,0,0,,,
137,0,0,0,0,,,
138,0,0,0,0,,,
139,0,1,1,0,,,
140,0,1,1,0,,,
141,0,0,0,0,,,
142,0,0,0,0,,,
143,0,0,0,0,,,
144,0,1,0,0,,,
145,0,0,0,0,,,
146,0,0,0,0,,,
147,0,1,1,0,,,
148,0,1,1,0,,,
149,0,1,2,0,,,
150,0,1,2,0,,,
151,0,1,0,0,,,
152,0,1,0,0,,,
153,0,1,0,0,,,
154,0,1,0,0,,,
155,0,1,0,0,,,
156,0,0,0,0,,,
157,0,0,0,0,,,
158,0,1,0,0,,,
159,0,1,1,0,,,
160,0,1,1,0,,,
161,0,1,0,0,,,
162,0,1,0,0,,,
163,0,0,1,0,,,
164,0,0,1,0,,,
165,0,0,0,0,,,
166,0,0,0,0,,,
167,0,1,0,0,,,
168,0,1,0,0,,,
169,0,1,0,0,,,
170,0,1,0,0,,,
171,0,0,0,0,,,
172,0,1,0,0,,,
173,0,0,0,0,,,
174,0,1,0,0,,,
175,0,0,1,0,,,
176,0,0,1,0,,,
177,0,1,0,0,,,
178,0,1,0,0,Injured,,
179,0,1,0,0,,,
180,0,1,0,0,,,
181,0,1,0,0,,,
182,1,1,0,0,,,
183,0,1,0,0,,,
184,0,0,0,0,,,
185,0,0,0,0,,,
186,0,1,0,0,,,
187,0,0,0,0,,,
188,0,1,0,0,,,
189,0,0,0,0,,,
190,0,0,0,0,,,
191,0,0,0,0,,,
192,0,0,0,0,,,
193,0,1,0,0,,,
194,0,0,0,0,,,
195,0,0,2,0,,,
196,0,0,2,0,,,
197,0,1,2,0,,,
198,0,1,0,0,,,
199,0,1,0,1,,,
200,0,0,0,0,,,
201,0,0,0,0,,,
202,0,1,0,0,,,
203,0,1,0,0,,,
204,0,1,0,0,,,
205,0,1,0,0,,,
206,0,1,0,0,,,
207,0,1,0,0,,,
208,0,1,0,0,,,
209,0,1,0,0,,,
210,0,0,0,0,,,
211,0,0,0,0,,,
212,0,1,0,0,,,
213,0,0,0,0,,,
214,0,0,1,0,,,
215,0,0,1,0,,,
216,0,0,0,0,,,
217,0,1,0,0,,,
218,0,0,1,0,,,
219,0,0,1,0,,,
220,0,1,0,0,,,
221,0,1,0,0,,,
222,0,0,0,0,,,
223,0,1,0,0,,,
224,0,0,1,0,,,
225,0,0,1,0,,,
226,0,0,0,0,,,
227,0,0,1,0,,,
228,0,1,1,0,,,
229,0,1,0,0,,,
230,0,1,0,0,,,
231,0,1,0,0,,,
232,0,1,0,0,,,
233,0,0,0,0,,,
234,0,1,0,0,,,
235,0,0,0,0,,,
236,0,0,0,1,Carrying electric scooter,,
237,0,0,0,0,,,
238,0,1,1,0,child,,
239,0,0,1,0,,,
240,0,1,0,0,Injured,,
241,0,0,0,0,,,
242,0,0,2,0,,,
243,0,0,2,0,,,
244,0,0,2,0,,,
245,0,0,2,0,,,
246,0,0,0,0,,,
247,0,0,0,0,,,
248,0,1,0,1,Carrying electric scooter,,
249,0,1,0,0,,,
250,0,1,0,0,,,
251,0,1,0,0,,,
252,0,1,0,0,,,
253,0,0,0,0,,,
254,0,0,0,0,,,
255,0,1,0,0,,,
256,0,0,0,0,,,
257,0,1,0,0,,,
258,1,1,0,0,"Went to elevator, but quickly changed mind and took stairs - not sure poster was even noticed",,
259,0,1,0,0,,,
260,0,0,0,0,,,
261,0,1,0,0,,,
262,0,1,2,0,,,
263,0,1,2,0,,,
264,0,1,2,0,,,
265,0,0,2,0,,,
266,0,0,2,0,,,
267,0,0,0,0,,,
268,0,0,0,0,,,
269,0,0,0,0,,,
270,0,0,1,0,,,
271,0,0,1,0,,,
272,0,1,0,0,,,
273,0,0,1,0,,,
274,0,0,1,0,,,
275,0,0,0,0,,,
276,0,0,1,0,,,
277,0,0,1,0,,,
278,0,0,0,0,,,
279,0,1,1,0,,,
280,0,1,1,0,,,
281,0,0,0,0,,,
282,0,1,0,0,,,
