Obersavation Number,"Use
(Elevator = 0; Stairs = 1)","Gender
(Female=0; Male=1; Hybrid=2)","Group Size
(Single=0; Two people=1; More than two=2)","Heavy Items
(No=0; Yes=1)",Notes
1,0,1,1,0,2 female
2,0,0,0,0,
3,0,0,0,0,
4,0,1,0,0,
5,0,2,2,0,2 male 3 female
6,0,1,2,0,3 male
7,0,1,2,0,3 male
8,0,0,0,0,
9,0,0,0,0,
10,0,0,0,0,
11,0,1,0,0,
12,0,2,0,0,1 male and 2 female
13,0,0,0,0,
14,0,1,0,0,
15,0,1,0,0,
16,0,1,0,0,
17,0,1,0,0,
18,0,1,0,0,
19,0,1,0,0,
20,0,1,0,0,
21,0,0,0,0,
22,0,1,0,0,
23,0,0,0,0,
24,0,1,0,0,
25,0,1,0,0,
26,0,2,1,0,1 male and 1 female
27,0,0,1,0,2 female
