Obersavation Number,"Use
(Elevator = 0; Stairs = 1)","Gender
(Female=0; Male=1; Hybrid=2)","Group Size
(Single=0; Two people=1; More than two=2)","Heavy Items
(No=0; Yes=1)",Notes,,Additional Notes
283,0,1,1,0,,,A lot of activity until 2:10pm
284,0,2,1,0,female and male,,Some people directly walked to stairs are not counted
285,0,1,0,0,,,
286,0,1,0,0,,,
287,0,1,0,0,,,
288,0,0,0,0,,,
289,0,1,0,0,,,
290,0,0,1,0,,,
291,0,1,0,0,,,
292,0,1,1,0,,,
293,0,2,1,0,female and male,,
294,0,0,2,0,3 female,,
295,0,2,2,0,2 male and 1 female,,
296,0,0,0,0,,,
297,0,0,0,0,,,
298,0,1,2,0,3 male,,
299,1,1,1,0,,,
300,0,1,2,0,3 male,,
301,1,2,2,0,2 male 2 female,,"There are many people in the queue around 2pm, some people choose stairs later may just want to save time"
302,0,1,0,0,,,
303,0,1,0,0,,,
304,0,1,1,0,,,
305,0,1,0,0,,,
306,0,1,0,0,,,
307,0,1,0,0,,,
308,0,0,0,0,,,
309,0,0,0,0,,,
310,0,0,0,0,,,
311,0,1,0,0,,,
312,0,0,0,0,,,
313,0,0,0,0,,,
314,0,0,0,0,,,
315,0,1,0,0,,,
316,0,1,0,0,,,
317,0,1,0,0,,,
318,0,0,1,0,,,
319,0,2,1,0,female and male,,
320,0,1,0,0,,,
321,0,0,0,0,,,
322,0,0,0,0,,,
323,0,0,0,0,,,
324,1,1,0,0,,,
325,0,1,0,0,,,
326,0,2,2,0,2 female and 1 male,,
327,0,0,0,0,,,
328,0,1,0,1,carry a package,,
329,0,0,0,0,,,
330,1,1,0,0,,,
331,0,1,0,0,,,
332,0,0,0,0,,,
333,0,1,0,0,,,
334,1,1,0,0,,,
335,0,1,0,0,,,
336,0,2,2,0,1 female and 2 male,,
337,0,1,0,0,,,
338,0,0,1,0,,,
339,0,0,0,0,,,
340,0,0,0,0,,,
341,0,1,0,0,,,
342,0,1,0,0,,,
343,0,1,0,0,,,
344,0,1,0,0,,,
345,0,0,0,0,,,
346,0,0,0,0,,,
347,0,1,0,0,,,
348,0,0,0,0,,,
349,0,1,2,0,3 male,,
350,0,0,0,0,,,
351,0,0,0,0,,,
352,0,0,0,0,,,
353,1,0,0,0,,,
354,0,0,1,0,2 female with high-heels,,
355,0,0,0,0,,,
356,0,0,0,0,,,
357,0,1,0,0,,,
358,0,0,1,0,,,
359,0,0,0,0,,,
360,0,0,0,0,,,
361,0,0,0,0,,,
362,0,0,0,0,,,
363,1,1,0,0,,,
364,0,0,0,0,,,
365,0,0,0,0,,,
366,0,1,0,0,,,
367,0,1,0,0,,,
368,0,2,2,1,4 female and 2 male with packages,,
369,0,0,0,0,,,
370,0,0,0,0,,,
371,0,0,0,0,,,
372,0,1,0,0,,,
373,0,0,0,0,,,
374,1,0,0,0,,,
375,0,1,0,0,,,
376,0,1,0,0,,,
377,0,0,2,0,5 female,,
378,0,1,0,0,,,
379,0,0,0,0,,,
380,0,1,0,0,,,
381,0,1,0,0,,,
382,0,0,0,0,,,
383,0,0,0,0,,,
384,0,1,0,0,,,
385,1,1,0,0,,,
386,0,0,1,0,,,
387,0,0,0,0,,,
388,0,0,0,0,,,
389,0,1,1,0,,,
390,0,1,2,0,3 male,,
391,0,0,0,0,,,
392,0,0,0,0,,,
393,0,0,0,0,,,
394,0,0,1,0,,,
395,0,1,0,0,,,
396,0,0,0,0,,,
397,0,1,1,0,,,
398,0,1,0,0,,,
399,0,0,0,0,,,
400,0,0,0,0,,,
401,0,0,0,0,,,
402,0,1,0,0,,,
403,0,0,0,0,,,
404,0,0,0,0,,,
405,0,1,0,0,,,
406,0,1,1,0,,,
407,0,1,0,0,,,
408,0,0,0,0,,,
409,0,1,0,0,,,
410,1,0,0,0,,,
411,0,0,0,0,,,
412,0,0,0,0,,,
413,0,1,0,0,,,
414,0,1,0,0,,,
415,0,0,0,0,,,
416,0,0,0,0,,,
417,0,1,0,0,,,
418,0,1,0,0,,,
